Country Name,year,population,renewables_production,solar_electricity_generation_twh,wind_electricity_generation_twh,hydro_electricity_generation_twh,other_renewables_electricity_generation_twh,co2_per_capita,gdp_per_capita,renewables_production_per_capita,solar_per_capita,wind_per_capita,hydro_per_capita,other_renewables_per_capita,log_gdp_per_capita,log_renewables_production_per_capita,log_hydro_per_capita
Netherlands,2000,15925513.0,2.992297,0.00771,0.829,0.142393,2.013194,10.706721,31887.8534610687,1.8789328795876153e-07,4.841288315170757e-10,5.205483804509154e-08,8.941187640234886e-09,1.2641313344191801e-07,10.370011806427982,1.8789327030681992e-07,8.941187600262468e-09
Norway,2000,4490967.0,142.11030000000002,0.0053,0.031,141.818,0.256,9.3769045,36986.4941984639,3.16435858914127e-05,1.180146725638376e-09,6.902744999016915e-09,3.1578499686147773e-05,5.7003313540268724e-08,10.51833513985719,3.1643085243710164e-05,3.1578001095823026e-05
New Zealand,2000,3857700.0,28.296062585,0.0,0.120208085,24.434969,3.7408855,8.357968,21500.6292898099,7.334956731990564e-06,0.0,3.1160558104570084e-08,6.334077040723747e-06,9.697191331622469e-07,9.975883992165915,7.334929831326978e-06,6.334056980542477e-06
Oman,2000,2282131.0,0.0,0.0,0.0,0.0,0.0,10.468582,39443.2607398871,0.0,0.0,0.0,0.0,0.0,10.58264383381185,0.0,0.0
Pakistan,2000,154879127.0,18.484977,0.0,0.0,17.558277,0.9267,0.6711011,2565.19958815541,1.1935098911036604e-07,0.0,0.0,1.1336761344219095e-07,5.983375668175092e-09,7.8501813239727944,1.193509819880373e-07,1.1336760701608356e-07
Peru,2000,26598331.0,16.3349,0.0,0.0008,16.1761,0.158,1.0781721,5011.94540719945,6.14132518314777e-07,0.0,3.007707513678208e-11,6.081622189001258e-07,5.94022233951446e-09,8.519778926958733,6.141323297354792e-07,6.081620339695585e-07
Philippines,2000,79625397.0,19.425,0.0,0.0,7.799,11.626,0.9030095,3365.55833002445,2.4395482762867733e-07,0.0,0.0,9.794613645693974e-08,1.4600869117173758e-07,8.12164623444282,2.439547978717032e-07,9.794613166021724e-08
Poland,2000,38258629.0,2.332,0.0,0.005,2.106,0.221,8.297664,10718.9105404255,6.095356945488036e-08,0.0,1.3068947138696476e-10,5.504640534818955e-08,5.7764746353038425e-09,9.279858089480411,6.095356759721161e-08,5.5046403833136235e-08
Portugal,2000,10289898.0,12.8684,0.0014,0.168,11.323,1.376,6.3848715,18879.0582089447,1.2505857686830325e-06,1.3605577042649013e-10,1.632669245117882e-08,1.1003996346708198e-06,1.3372338579060743e-07,9.845861522795623,1.250584986701302e-06,1.1003990292315859e-06
Qatar,2000,644989.0,0.0,0.0,0.0,0.0,0.0,62.50843,88848.6270266732,0.0,0.0,0.0,0.0,0.0,11.394700635787528,0.0,0.0
Romania,2000,22442971.0,14.778,0.0,0.0,14.778,0.0,4.2339816,5848.82847523461,6.584689700842192e-07,0.0,0.0,6.584689700842192e-07,0.0,8.674167619323333,6.584687532936221e-07,6.584687532936221e-07
Russian Federation,2000,146596869.0,164.15699999999998,0.0,0.0019,164.076,0.0791,10.081552,6825.3916015625,1.1197851708551838e-06,0.0,1.296071336966958e-11,1.1192326351799506e-06,5.395749618636126e-10,8.828551496933692,1.1197845438962375e-06,1.119232008839572e-06
Saudi Arabia,2000,16177722.0,0.0,0.0,0.0,0.0,0.0,19.147379,48689.1978830954,0.0,0.0,0.0,0.0,0.0,10.793233013310928,0.0,0.0
Singapore,2000,4027887.0,0.245,0.0,0.0,0.0,0.245,9.260702,43781.2691497492,6.08259367752869e-08,0.0,0.0,0.0,6.08259367752869e-08,10.68698420047259,6.082593492538968e-08,0.0
Slovenia,2000,1988925.0,3.904,0.0,0.0,3.834,0.07,7.5770297,17887.7797417869,1.9628693892429326e-06,0.0,0.0,1.9276744975300727e-06,3.5194891712859964e-08,9.791928965220972,1.9628674628173336e-06,1.927672639567976e-06
Sweden,2000,8872109.0,83.14,0.001,0.457,78.584,4.098,6.1913505,29629.8986478258,9.37093987461155e-06,1.1271277212667248e-10,5.150973686188932e-08,8.85742048480243e-06,4.618969401751038e-07,10.296572969092706,9.370895967628782e-06,8.857381258085239e-06
Thailand,2000,63007815.0,6.4183415,0.0,0.0,5.891444,0.5268975,2.656056,7289.10499433492,1.0186580029794717e-07,0.0,0.0,9.350338525467039e-08,8.362415043276775e-09,8.894273227414066,1.018657951096269e-07,9.350338088322913e-08
Turkmenistan,2000,4582677.0,0.003154,0.0,0.0,0.003154,0.0,8.589285,4208.66515457688,6.882440110878424e-10,0.0,0.0,6.882440110878424e-10,0.0,8.345138387783336,6.882440108510025e-10,6.882440108510025e-10
Trinidad and Tobago,2000,1319774.0,0.020531,0.000531,0.0,0.0,0.02,18.463089,13953.1361523584,1.5556451331818932e-08,4.023416130337467e-10,0.0,0.0,1.5154109718785187e-08,9.543531241679501,1.5556451210817347e-08,0.0
Turkey,2000,65425961.0,31.1534,0.0,0.0334,30.8785,0.2415,3.5144587,9308.41965620447,4.76162665765047e-07,0.0,5.105007169860295e-10,4.7196096974410507e-07,3.6911953039558713e-09,9.138782032796966,4.761625523996409e-07,4.719608583705616e-07
Ukraine,2000,49556660.0,11.28,0.0,0.006,11.274,0.0,5.7646046,4228.1162109375,2.2761824545883437e-07,0.0,1.2107353481852894e-10,2.2749717192401585e-07,0.0,8.349748316626146,2.2761821955380546e-07,2.2749714604653818e-07
United States,2000,282162411.0,345.51244667000003,0.51851267,5.649759,272.76135,66.582825,21.3516,36329.9702595751,1.2245162119414978e-06,1.8376390680897607e-09,2.002307458309888e-08,9.666820928886945e-07,2.3597340540161462e-07,10.50042583170077,1.2245154622221332e-06,9.666816256518612e-07
Uzbekistan,2000,24787054.0,5.879,0.0,0.0,5.879,0.0,4.981535,2644.26354163948,2.371802635359571e-07,0.0,0.0,2.371802635359571e-07,0.0,7.8805259769997775,2.3718023540872282e-07,2.3718023540872282e-07
World,2000,6161884825.5,2863.9871491000004,1.0581311,31.409548,2646.6404,184.87907,4.1334705,7994.71964404334,4.647907629249797e-07,1.7172198604249943e-10,5.097392906471812e-09,4.295179924569981e-07,3.000365557546723e-08,8.986661632980008,4.6479065490978656e-07,4.295179002141716e-07
South Africa,2000,47159719.0,1.5877998,0.0093,0.0,1.1009998,0.4775,8.021831,8095.29428869191,3.366855939069527e-08,1.9720219282901155e-10,0.0,2.3346190845623998e-08,1.0125166352242259e-08,8.99916174075444,3.366855882390934e-08,2.334619057310169e-08
United Arab Emirates,2001,3723590.0,0.0,0.0,0.0,0.0,0.0,27.236929,88831.5766084328,0.0,0.0,0.0,0.0,0.0,11.394508715404463,0.0,0.0
Argentina,2001,37624825.0,36.99257525,4.3e-05,0.049361,36.580173,0.36299825,3.5916998,11117.754923304,9.831959417751446e-07,1.1428624584964847e-12,1.3119263677638367e-09,9.722350336513193e-07,9.647838893602828e-09,9.316388594206988,9.831954584383315e-07,9.722345610311453e-07
Australia,2001,19274701.0,17.26215,0.05415,0.287,16.1235,0.7975,18.475426,27645.8140289701,8.955858770519968e-07,2.809382101439602e-09,1.4889984545026145e-08,8.365110307028887e-07,4.137547970264234e-08,10.227265775319532,8.955854760152047e-07,8.365106808277317e-07
Austria,2001,8042293.0,42.300294,0.005,0.172,40.455482,1.667812,8.724688,29556.403560049,5.259730527102159e-06,6.217132352676034e-10,2.1386935293205554e-08,5.03034171970606e-06,2.0738015886762645e-07,10.294089534940742,5.259716694768053e-06,5.03032906757958e-06
Azerbaijan,2001,8111200.0,1.301,0.0,0.0,1.301,0.0,3.4435794,3771.2705793939,1.6039550251504092e-07,0.0,0.0,1.6039550251504092e-07,0.0,8.235432374848136,1.603954896516837e-07,1.603954896516837e-07
Belgium,2001,10286570.0,1.075,0.0,0.037,0.441,0.597,12.255029,28796.5795804462,1.0450519463727948e-07,0.0,3.59692297821334e-09,4.2871433334921165e-08,5.803683832414498e-08,10.268046620246663,1.0450518917661201e-07,4.287143241594129e-08
Bangladesh,2001,136805810.0,0.993014,1.4e-05,0.0,0.993,0.0,0.22706808,1597.58740607494,7.258565992189951e-09,1.0233483504830679e-13,0.0,7.258463657354903e-09,0.0,7.37687564706439,7.258565965846562e-09,7.258463631012256e-09
Bulgaria,2001,8009142.0,1.651,0.0,0.0,1.651,0.0,6.195104,6961.06715225721,2.0613943416161182e-07,0.0,0.0,2.0613943416161182e-07,0.0,8.848231713865976,2.0613941291488159e-07,2.0613941291488159e-07
Belarus,2001,9928549.0,0.03,0.0,0.0,0.03,0.0,5.433976,6238.09862993194,3.0215895595620267e-09,0.0,0.0,3.0215895595620267e-09,0.0,8.738591000598099,3.021589554997025e-09,3.021589554997025e-09
Brazil,2001,176301203.0,276.933307,0.0,0.0349,267.876,9.022407,1.9634924,9303.6452918321,1.5707964681330053e-06,0.0,1.9795667531548269e-10,1.5194224171005798e-06,5.117609435710997e-08,9.138269048181257,1.5707952344335252e-06,1.5194212627795082e-06
Canada,2001,31020855.0,341.541758947,0.019578947,0.329,331.52103,9.67215,17.888409,30230.8487685762,1.1010069159828122e-05,6.311543314973104e-10,1.0605768280725983e-08,1.0687037156132544e-05,3.1179508108335505e-07,10.31665124265429,1.1010008549461553e-05,1.0686980050157818e-05
Switzerland,2001,7229854.0,42.21588,0.013,0.004,41.32288,0.876,6.2391872,37822.9275072501,5.839105464647004e-06,1.7980999339682378e-09,5.532615181440732e-10,5.715589830721339e-06,1.2116427247355203e-07,10.540697184183193,5.839088417137051e-06,5.7155734968000205e-06
Chile,2001,15683849.0,23.37,0.0,0.007,21.68,1.683,3.3740773,9775.553235058,1.490067903612181e-06,0.0,4.463190126352275e-10,1.3823137419902474e-06,1.0730784260929827e-07,9.187742270957662,1.490066793462105e-06,1.3823127865954873e-06
China,2001,1271850000.0,280.7341919,0.031,0.7191919,277.43,2.554,2.9158025,3208.58583841354,2.207290104178952e-07,2.4373943468176278e-11,5.654691197861383e-10,2.181310689153595e-07,2.008098439281362e-09,8.07389718549889,2.2072898605725076e-07,2.1813104512478136e-07
Colombia,2001,39709262.0,32.13132675,0.00266875,0.0,31.632658,0.496,1.4316118,6934.88284308463,8.091645407562598e-07,6.72072424816155e-11,0.0,7.966065448408485e-07,1.2490788672929756e-08,8.844463627182288,8.091642133828095e-07,7.966062275500233e-07
Cyprus,2001,964127.0,0.0,0.0,0.0,0.0,0.0,7.2359786,22868.759765625,0.0,0.0,0.0,0.0,0.0,10.037570782616443,0.0,0.0
Czechia,2001,10216605.0,2.57679,0.0,0.0002,2.054,0.52259,12.42629,17711.335522848,2.522158779751199e-07,0.0,1.9575974602130554e-11,2.0104525916388076e-07,5.115104283663703e-08,9.782016598019222,2.522158461687007e-07,2.0104523895428537e-07
Germany,2001,82349925.0,39.0,0.1,10.5,23.2,5.2,11.170657,28677.1908591132,4.7358877376026754e-07,1.2143301891288912e-09,1.2750466985853356e-07,2.817246038779027e-07,6.314516983470234e-08,10.263892212497737,4.7358866161713964e-07,2.8172456419353395e-07
Denmark,2001,5358783.0,5.8463785,0.0012,4.3060193,0.0276,1.5115592,10.428898,29462.1232905618,1.0909899691777032e-06,2.239314411499775e-10,8.035442562238479e-07,5.1504231464494826e-09,2.820713583662559e-07,10.290894702406675,1.0909893740485795e-06,5.150423133186053e-09
Algeria,2001,31331221.0,0.069,0.0,0.0,0.069,0.0,2.7716565,9543.52035341031,2.2022761257852032e-09,0.0,0.0,2.2022761257852032e-09,0.0,9.163722483813963,2.202276123360193e-09,2.202276123360193e-09
Ecuador,2001,12910740.0,7.0706525,0.0,0.0,7.0706525,0.0,1.8130603,5998.87508622547,5.476566409051689e-07,0.0,0.0,5.476566409051689e-07,0.0,8.699493929031053,5.476564909413254e-07,5.476564909413254e-07
Spain,2001,40850412.0,49.441,0.024,6.759,41.027,1.631,7.5598183,22954.8204911252,1.210293790916968e-06,5.87509374446456e-10,1.6545732757848318e-07,1.004322796058948e-06,3.992615790509041e-08,10.04132679950458,1.2102930585120288e-06,1.0043222917271464e-06
Estonia,2001,1388115.0,0.0294,0.0,0.0,0.0074,0.022,11.432618,10309.9978807426,2.1179801385331905e-08,0.0,0.0,5.330970416716195e-09,1.5848830968615713e-08,9.240966359984279,2.1179801161039917e-08,5.330970402506572e-09
Finland,2001,5188008.0,21.548567,0.001715,0.07,13.205,8.271852,12.051263,27801.0248281402,4.153533880441202e-06,3.3057003767149164e-10,1.3492654598836395e-08,2.5452929139662084e-06,1.5944177418384862e-06,10.23286413257096,4.153525254543239e-06,2.545289674713696e-06
France,2001,61364377.0,77.7391605,0.0061605,0.131,74.268,3.334,6.851596,27349.7445859002,1.2668451029821421e-06,1.0039212163760744e-10,2.1347890487016597e-09,1.2102787257173652e-06,5.433119609443766e-08,10.216499031826908,1.2668443005345623e-06,1.2102779933306592e-06
United Kingdom,2001,59119673.0,9.547648,0.002,0.965,4.054648,4.526,9.748516,27915.5304404741,1.6149696903770088e-07,3.3829686439571475e-11,1.6322823707093238e-08,6.858373523141781e-08,7.655658041275025e-08,10.236974281263086,1.6149695599706678e-07,6.858373287955355e-08
Greece,2001,10862132.0,2.932,0.0,0.756,2.097,0.079,9.716937,20306.0878366634,2.699285922874073e-07,0.0,6.959959610139152e-08,1.9305602251933597e-07,7.272973666679801e-09,9.918725258605065,2.699285558566914e-07,1.9305600388402445e-07
Croatia,2001,4299642.0,7.1804,0.0,0.0,7.1804,0.0,4.8304753,11654.2590392847,1.6699995022841435e-06,0.0,0.0,1.6699995022841435e-06,0.0,9.363512776815725,1.6699981078365273e-06,1.6699981078365273e-06
Hungary,2001,10187576.0,0.257,0.0,0.001,0.186,0.07,5.884713,13211.8270609093,2.5226805669965063e-08,0.0,9.81587769259341e-11,1.8257532508223742e-08,6.871114384815388e-09,9.48894338377254,2.522680535176921e-08,1.8257532341554995e-08
Indonesia,2001,219097902.0,17.6896,0.0,0.0,11.655,6.0346,1.4469663,4848.55580089787,8.073833586959677e-08,0.0,0.0,5.3195397553373194e-08,2.7542938316223585e-08,8.486642392293405,8.073833261025752e-08,5.319539613849809e-08
India,2001,1077898575.0,76.18822511100001,0.011111111,2.085,72.022964,2.06915,0.9282198,2199.53910436921,7.068218372122813e-08,1.0308122914069164e-11,1.9343192841682716e-09,6.681794156746149e-08,1.9196147466843065e-09,7.696457656767737,7.068218122324271e-08,6.681793933514292e-08
Ireland,2001,3866243.0,1.02707759,0.0,0.33406013,0.596,0.09701746,12.324259,32576.9245748656,2.6565262193814514e-07,0.0,8.640432843977991e-08,1.5415482161881702e-07,2.5093471879548183e-08,10.391390177698025,2.6565258665249363e-07,1.5415480973696373e-07
Iraq,2001,25197840.0,3.701006,0.0,0.0,3.701006,0.0,3.8230426,10719.6194203797,1.4687790699520276e-07,0.0,0.0,1.4687790699520276e-07,0.0,9.27992421470733,1.4687789620864403e-07,1.4687789620864403e-07
Iceland,2001,284968.0,8.023458,0.0,0.0,6.572595,1.450863,10.053745,31885.4510734264,2.8155645546166585e-05,0.0,0.0,2.306432652087252e-05,5.091319025294068e-06,10.369936467308523,2.8155249183418407e-05,2.3064060543383307e-05
Israel,2001,6439000.0,0.02,0.0,0.01,0.01,0.0,10.06777,25740.361934819,3.1060723714862556e-09,0.0,1.5530361857431278e-09,1.5530361857431278e-09,0.0,10.155854390970998,3.1060723666624125e-09,1.5530361845371671e-09
