Variable1,Variable2,Correlation,Correlation Type
wind_per_capita,log_hydro_per_capita,0.08130162766837386,Pearson
hydro_per_capita,log_hydro_per_capita,0.9999999999866832,Pearson
other_renewables_per_capita,log_hydro_per_capita,0.745759797082274,Pearson
co2_per_capita,log_hydro_per_capita,0.026114038698803292,Pearson
gdp_per_capita,log_hydro_per_capita,0.17706373121604652,Pearson
log_renewables_production_per_capita,log_hydro_per_capita,0.983942260369339,Pearson
log_hydro_per_capita,log_hydro_per_capita,1.0,Pearson
log_gdp_per_capita,log_hydro_per_capita,0.2162729755102468,Pearson
renewables_production_per_capita,log_gdp_per_capita,0.24798097747490394,Pearson
solar_per_capita,log_gdp_per_capita,0.3474223811483219,Pearson
wind_per_capita,log_gdp_per_capita,0.39822105520952905,Pearson
hydro_per_capita,log_gdp_per_capita,0.21627226653873555,Pearson
other_renewables_per_capita,log_gdp_per_capita,0.16708458323232162,Pearson
co2_per_capita,log_gdp_per_capita,0.5746017255921607,Pearson
gdp_per_capita,log_gdp_per_capita,0.8809460291183019,Pearson
log_renewables_production_per_capita,log_gdp_per_capita,0.24798296093724562,Pearson
log_hydro_per_capita,log_gdp_per_capita,0.2162729755102468,Pearson
log_gdp_per_capita,log_gdp_per_capita,1.0,Pearson
renewables_production_per_capita,renewables_production_per_capita,1.0,Spearman
solar_per_capita,renewables_production_per_capita,0.40671018011546023,Spearman
wind_per_capita,renewables_production_per_capita,0.6626675777329806,Spearman
hydro_per_capita,renewables_production_per_capita,0.8344185960187072,Spearman
other_renewables_per_capita,renewables_production_per_capita,0.755711937926793,Spearman
co2_per_capita,renewables_production_per_capita,0.04453778663130204,Spearman
gdp_per_capita,renewables_production_per_capita,0.38679947143758936,Spearman
log_renewables_production_per_capita,renewables_production_per_capita,1.0,Spearman
log_hydro_per_capita,renewables_production_per_capita,0.8344185960187072,Spearman
log_gdp_per_capita,renewables_production_per_capita,0.38679947143758936,Spearman
renewables_production_per_capita,solar_per_capita,0.40671018011546023,Spearman
solar_per_capita,solar_per_capita,1.0,Spearman
wind_per_capita,solar_per_capita,0.6558522883408979,Spearman
hydro_per_capita,solar_per_capita,0.09894565997792135,Spearman
other_renewables_per_capita,solar_per_capita,0.46530486113016595,Spearman
co2_per_capita,solar_per_capita,0.11450746136047132,Spearman
gdp_per_capita,solar_per_capita,0.49712731069205573,Spearman
log_renewables_production_per_capita,solar_per_capita,0.40671018011546023,Spearman
log_hydro_per_capita,solar_per_capita,0.09894565997792135,Spearman
log_gdp_per_capita,solar_per_capita,0.49712731069205573,Spearman
renewables_production_per_capita,wind_per_capita,0.6626675777329806,Spearman
solar_per_capita,wind_per_capita,0.6558522883408979,Spearman
wind_per_capita,wind_per_capita,1.0,Spearman
hydro_per_capita,wind_per_capita,0.35391639415542164,Spearman
other_renewables_per_capita,wind_per_capita,0.6921223553982832,Spearman
co2_per_capita,wind_per_capita,0.08607815958784289,Spearman
gdp_per_capita,wind_per_capita,0.44549891080029363,Spearman
log_renewables_production_per_capita,wind_per_capita,0.6626675777329806,Spearman
log_hydro_per_capita,wind_per_capita,0.35391639415542164,Spearman
log_gdp_per_capita,wind_per_capita,0.44549891080029363,Spearman
renewables_production_per_capita,hydro_per_capita,0.8344185960187072,Spearman
solar_per_capita,hydro_per_capita,0.09894565997792135,Spearman
wind_per_capita,hydro_per_capita,0.35391639415542164,Spearman
hydro_per_capita,hydro_per_capita,1.0,Spearman
other_renewables_per_capita,hydro_per_capita,0.461131098422279,Spearman
co2_per_capita,hydro_per_capita,-0.13458395898551226,Spearman
gdp_per_capita,hydro_per_capita,0.04647024619050857,Spearman
log_renewables_production_per_capita,hydro_per_capita,0.8344185960187072,Spearman
log_hydro_per_capita,hydro_per_capita,1.0,Spearman
log_gdp_per_capita,hydro_per_capita,0.04647024619050857,Spearman
renewables_production_per_capita,other_renewables_per_capita,0.755711937926793,Spearman
solar_per_capita,other_renewables_per_capita,0.46530486113016595,Spearman
wind_per_capita,other_renewables_per_capita,0.6921223553982832,Spearman
hydro_per_capita,other_renewables_per_capita,0.461131098422279,Spearman
other_renewables_per_capita,other_renewables_per_capita,1.0,Spearman
co2_per_capita,other_renewables_per_capita,0.1638066655347206,Spearman
gdp_per_capita,other_renewables_per_capita,0.5097145015144572,Spearman
log_renewables_production_per_capita,other_renewables_per_capita,0.755711937926793,Spearman
log_hydro_per_capita,other_renewables_per_capita,0.461131098422279,Spearman
log_gdp_per_capita,other_renewables_per_capita,0.5097145015144572,Spearman
renewables_production_per_capita,co2_per_capita,0.04453778663130204,Spearman
solar_per_capita,co2_per_capita,0.11450746136047132,Spearman
wind_per_capita,co2_per_capita,0.08607815958784289,Spearman
hydro_per_capita,co2_per_capita,-0.13458395898551226,Spearman
other_renewables_per_capita,co2_per_capita,0.1638066655347206,Spearman
co2_per_capita,co2_per_capita,1.0,Spearman
gdp_per_capita,co2_per_capita,0.6752530268844246,Spearman
log_renewables_production_per_capita,co2_per_capita,0.04453778663130204,Spearman
log_hydro_per_capita,co2_per_capita,-0.13458395898551226,Spearman
log_gdp_per_capita,co2_per_capita,0.6752530268844246,Spearman
renewables_production_per_capita,gdp_per_capita,0.38679947143758936,Spearman
solar_per_capita,gdp_per_capita,0.49712731069205573,Spearman
wind_per_capita,gdp_per_capita,0.44549891080029363,Spearman
hydro_per_capita,gdp_per_capita,0.04647024619050857,Spearman
other_renewables_per_capita,gdp_per_capita,0.5097145015144572,Spearman
co2_per_capita,gdp_per_capita,0.6752530268844246,Spearman
gdp_per_capita,gdp_per_capita,1.0,Spearman
log_renewables_production_per_capita,gdp_per_capita,0.38679947143758936,Spearman
log_hydro_per_capita,gdp_per_capita,0.04647024619050857,Spearman
log_gdp_per_capita,gdp_per_capita,1.0,Spearman
renewables_production_per_capita,log_renewables_production_per_capita,1.0,Spearman
solar_per_capita,log_renewables_production_per_capita,0.40671018011546023,Spearman
wind_per_capita,log_renewables_production_per_capita,0.6626675777329806,Spearman
hydro_per_capita,log_renewables_production_per_capita,0.8344185960187072,Spearman
other_renewables_per_capita,log_renewables_production_per_capita,0.755711937926793,Spearman
co2_per_capita,log_renewables_production_per_capita,0.04453778663130204,Spearman
gdp_per_capita,log_renewables_production_per_capita,0.38679947143758936,Spearman
log_renewables_production_per_capita,log_renewables_production_per_capita,1.0,Spearman
log_hydro_per_capita,log_renewables_production_per_capita,0.8344185960187072,Spearman
log_gdp_per_capita,log_renewables_production_per_capita,0.38679947143758936,Spearman
renewables_production_per_capita,log_hydro_per_capita,0.8344185960187072,Spearman
solar_per_capita,log_hydro_per_capita,0.09894565997792135,Spearman
wind_per_capita,log_hydro_per_capita,0.35391639415542164,Spearman
hydro_per_capita,log_hydro_per_capita,1.0,Spearman
other_renewables_per_capita,log_hydro_per_capita,0.461131098422279,Spearman
co2_per_capita,log_hydro_per_capita,-0.13458395898551226,Spearman
gdp_per_capita,log_hydro_per_capita,0.04647024619050857,Spearman
log_renewables_production_per_capita,log_hydro_per_capita,0.8344185960187072,Spearman
log_hydro_per_capita,log_hydro_per_capita,1.0,Spearman
log_gdp_per_capita,log_hydro_per_capita,0.04647024619050857,Spearman
renewables_production_per_capita,log_gdp_per_capita,0.38679947143758936,Spearman
solar_per_capita,log_gdp_per_capita,0.49712731069205573,Spearman
wind_per_capita,log_gdp_per_capita,0.44549891080029363,Spearman
hydro_per_capita,log_gdp_per_capita,0.04647024619050857,Spearman
other_renewables_per_capita,log_gdp_per_capita,0.5097145015144572,Spearman
co2_per_capita,log_gdp_per_capita,0.6752530268844246,Spearman
gdp_per_capita,log_gdp_per_capita,1.0,Spearman
log_renewables_production_per_capita,log_gdp_per_capita,0.38679947143758936,Spearman
log_hydro_per_capita,log_gdp_per_capita,0.04647024619050857,Spearman
log_gdp_per_capita,log_gdp_per_capita,1.0,Spearman
renewables_production_per_capita,renewables_production_per_capita,1.0,Pearson Scaled
solar_per_capita,renewables_production_per_capita,-0.0020184179723010255,Pearson Scaled
wind_per_capita,renewables_production_per_capita,0.15384186623047094,Pearson Scaled
hydro_per_capita,renewables_production_per_capita,0.9839419997036976,Pearson Scaled
other_renewables_per_capita,renewables_production_per_capita,0.8404323559579039,Pearson Scaled
co2_per_capita,renewables_production_per_capita,0.025091649279035892,Pearson Scaled
gdp_per_capita,renewables_production_per_capita,0.20683058523452522,Pearson Scaled
log_renewables_production_per_capita,renewables_production_per_capita,0.9999999999656599,Pearson Scaled
log_hydro_per_capita,renewables_production_per_capita,0.9839415348032501,Pearson Scaled
log_gdp_per_capita,renewables_production_per_capita,0.24798097747490297,Pearson Scaled
renewables_production_per_capita,solar_per_capita,-0.0020184179723010255,Pearson Scaled
solar_per_capita,solar_per_capita,1.0,Pearson Scaled
wind_per_capita,solar_per_capita,0.41240812470566535,Pearson Scaled
hydro_per_capita,solar_per_capita,-0.061958902779038594,Pearson Scaled
other_renewables_per_capita,solar_per_capita,-0.014658980303974181,Pearson Scaled
co2_per_capita,solar_per_capita,0.01451581789590821,Pearson Scaled
gdp_per_capita,solar_per_capita,0.33132846395085574,Pearson Scaled
log_renewables_production_per_capita,solar_per_capita,-0.0020172650470979153,Pearson Scaled
log_hydro_per_capita,solar_per_capita,-0.06195884984113668,Pearson Scaled
log_gdp_per_capita,solar_per_capita,0.34742238114832474,Pearson Scaled
renewables_production_per_capita,wind_per_capita,0.15384186623047094,Pearson Scaled
solar_per_capita,wind_per_capita,0.41240812470566535,Pearson Scaled
wind_per_capita,wind_per_capita,1.0,Pearson Scaled
hydro_per_capita,wind_per_capita,0.08130068785872688,Pearson Scaled
other_renewables_per_capita,wind_per_capita,0.052961716177031645,Pearson Scaled
co2_per_capita,wind_per_capita,-0.040563257482731895,Pearson Scaled
gdp_per_capita,wind_per_capita,0.3806171837458682,Pearson Scaled
log_renewables_production_per_capita,wind_per_capita,0.15384497870925912,Pearson Scaled
log_hydro_per_capita,wind_per_capita,0.08130162766837393,Pearson Scaled
log_gdp_per_capita,wind_per_capita,0.39822105520953105,Pearson Scaled
renewables_production_per_capita,hydro_per_capita,0.9839419997036976,Pearson Scaled
solar_per_capita,hydro_per_capita,-0.061958902779038594,Pearson Scaled
wind_per_capita,hydro_per_capita,0.08130068785872688,Pearson Scaled
hydro_per_capita,hydro_per_capita,1.0,Pearson Scaled
other_renewables_per_capita,hydro_per_capita,0.7457620009742795,Pearson Scaled
co2_per_capita,hydro_per_capita,0.02611422726555749,Pearson Scaled
gdp_per_capita,hydro_per_capita,0.17706337849044887,Pearson Scaled
log_renewables_production_per_capita,hydro_per_capita,0.9839427252297673,Pearson Scaled
log_hydro_per_capita,hydro_per_capita,0.9999999999866811,Pearson Scaled
log_gdp_per_capita,hydro_per_capita,0.21627226653873446,Pearson Scaled
renewables_production_per_capita,other_renewables_per_capita,0.8404323559579039,Pearson Scaled
solar_per_capita,other_renewables_per_capita,-0.014658980303974181,Pearson Scaled
wind_per_capita,other_renewables_per_capita,0.052961716177031645,Pearson Scaled
hydro_per_capita,other_renewables_per_capita,0.7457620009742795,Pearson Scaled
other_renewables_per_capita,other_renewables_per_capita,1.0,Pearson Scaled
co2_per_capita,other_renewables_per_capita,0.027134680949668488,Pearson Scaled
gdp_per_capita,other_renewables_per_capita,0.13294093474132707,Pearson Scaled
log_renewables_production_per_capita,other_renewables_per_capita,0.8404289570728802,Pearson Scaled
log_hydro_per_capita,other_renewables_per_capita,0.7457597970822734,Pearson Scaled
log_gdp_per_capita,other_renewables_per_capita,0.16708458323232167,Pearson Scaled
renewables_production_per_capita,co2_per_capita,0.025091649279035892,Pearson Scaled
solar_per_capita,co2_per_capita,0.01451581789590821,Pearson Scaled
wind_per_capita,co2_per_capita,-0.040563257482731895,Pearson Scaled
hydro_per_capita,co2_per_capita,0.02611422726555749,Pearson Scaled
other_renewables_per_capita,co2_per_capita,0.027134680949668488,Pearson Scaled
co2_per_capita,co2_per_capita,1.0,Pearson Scaled
gdp_per_capita,co2_per_capita,0.6291758450565492,Pearson Scaled
log_renewables_production_per_capita,co2_per_capita,0.025091420494786326,Pearson Scaled
log_hydro_per_capita,co2_per_capita,0.02611403869880331,Pearson Scaled
log_gdp_per_capita,co2_per_capita,0.5746017255921583,Pearson Scaled
renewables_production_per_capita,gdp_per_capita,0.20683058523452522,Pearson Scaled
solar_per_capita,gdp_per_capita,0.33132846395085574,Pearson Scaled
wind_per_capita,gdp_per_capita,0.3806171837458682,Pearson Scaled
hydro_per_capita,gdp_per_capita,0.17706337849044887,Pearson Scaled
other_renewables_per_capita,gdp_per_capita,0.13294093474132707,Pearson Scaled
co2_per_capita,gdp_per_capita,0.6291758450565492,Pearson Scaled
gdp_per_capita,gdp_per_capita,1.0,Pearson Scaled
log_renewables_production_per_capita,gdp_per_capita,0.2068320338686875,Pearson Scaled
log_hydro_per_capita,gdp_per_capita,0.17706373121604657,Pearson Scaled
log_gdp_per_capita,gdp_per_capita,0.8809460291183017,Pearson Scaled
renewables_production_per_capita,log_renewables_production_per_capita,0.9999999999656599,Pearson Scaled
solar_per_capita,log_renewables_production_per_capita,-0.0020172650470979153,Pearson Scaled
wind_per_capita,log_renewables_production_per_capita,0.15384497870925912,Pearson Scaled
hydro_per_capita,log_renewables_production_per_capita,0.9839427252297673,Pearson Scaled
other_renewables_per_capita,log_renewables_production_per_capita,0.8404289570728802,Pearson Scaled
co2_per_capita,log_renewables_production_per_capita,0.025091420494786326,Pearson Scaled
gdp_per_capita,log_renewables_production_per_capita,0.2068320338686875,Pearson Scaled
log_renewables_production_per_capita,log_renewables_production_per_capita,1.0,Pearson Scaled
log_hydro_per_capita,log_renewables_production_per_capita,0.9839422603693389,Pearson Scaled
log_gdp_per_capita,log_renewables_production_per_capita,0.2479829609372452,Pearson Scaled
renewables_production_per_capita,log_hydro_per_capita,0.9839415348032501,Pearson Scaled
solar_per_capita,log_hydro_per_capita,-0.06195884984113668,Pearson Scaled
wind_per_capita,log_hydro_per_capita,0.08130162766837393,Pearson Scaled
hydro_per_capita,log_hydro_per_capita,0.9999999999866811,Pearson Scaled
other_renewables_per_capita,log_hydro_per_capita,0.7457597970822734,Pearson Scaled
co2_per_capita,log_hydro_per_capita,0.02611403869880331,Pearson Scaled
gdp_per_capita,log_hydro_per_capita,0.17706373121604657,Pearson Scaled
log_renewables_production_per_capita,log_hydro_per_capita,0.9839422603693389,Pearson Scaled
log_hydro_per_capita,log_hydro_per_capita,1.0,Pearson Scaled
log_gdp_per_capita,log_hydro_per_capita,0.2162729755102465,Pearson Scaled
renewables_production_per_capita,log_gdp_per_capita,0.24798097747490297,Pearson Scaled
solar_per_capita,log_gdp_per_capita,0.34742238114832474,Pearson Scaled
wind_per_capita,log_gdp_per_capita,0.39822105520953105,Pearson Scaled
hydro_per_capita,log_gdp_per_capita,0.21627226653873446,Pearson Scaled
other_renewables_per_capita,log_gdp_per_capita,0.16708458323232167,Pearson Scaled
co2_per_capita,log_gdp_per_capita,0.5746017255921583,Pearson Scaled
gdp_per_capita,log_gdp_per_capita,0.8809460291183017,Pearson Scaled
log_renewables_production_per_capita,log_gdp_per_capita,0.2479829609372452,Pearson Scaled
log_hydro_per_capita,log_gdp_per_capita,0.2162729755102465,Pearson Scaled
log_gdp_per_capita,log_gdp_per_capita,1.0,Pearson Scaled
renewables_production_per_capita,renewables_production_per_capita,1.0,Pearson 2023
solar_per_capita,renewables_production_per_capita,-0.03548118413794612,Pearson 2023
wind_per_capita,renewables_production_per_capita,0.28085601387583164,Pearson 2023
hydro_per_capita,renewables_production_per_capita,0.9804093539656603,Pearson 2023
other_renewables_per_capita,renewables_production_per_capita,0.863879785555376,Pearson 2023
co2_per_capita,renewables_production_per_capita,0.02923948558807773,Pearson 2023
gdp_per_capita,renewables_production_per_capita,0.29433595870830226,Pearson 2023
log_renewables_production_per_capita,renewables_production_per_capita,0.9999999999704644,Pearson 2023
log_hydro_per_capita,renewables_production_per_capita,0.9804090174100996,Pearson 2023
log_gdp_per_capita,renewables_production_per_capita,0.31050614249850406,Pearson 2023
renewables_production_per_capita,solar_per_capita,-0.03548118413794612,Pearson 2023
solar_per_capita,solar_per_capita,1.0,Pearson 2023
wind_per_capita,solar_per_capita,0.2908535430335774,Pearson 2023
hydro_per_capita,solar_per_capita,-0.1304039828612402,Pearson 2023
other_renewables_per_capita,solar_per_capita,-0.08228771218694986,Pearson 2023
co2_per_capita,solar_per_capita,0.22115576744383916,Pearson 2023
gdp_per_capita,solar_per_capita,0.396259969695145,Pearson 2023
log_renewables_production_per_capita,solar_per_capita,-0.035479191852719694,Pearson 2023
log_hydro_per_capita,solar_per_capita,-0.13040388462436767,Pearson 2023
log_gdp_per_capita,solar_per_capita,0.4824984764161076,Pearson 2023
renewables_production_per_capita,wind_per_capita,0.28085601387583164,Pearson 2023
solar_per_capita,wind_per_capita,0.2908535430335774,Pearson 2023
wind_per_capita,wind_per_capita,1.0,Pearson 2023
hydro_per_capita,wind_per_capita,0.186188212168706,Pearson 2023
other_renewables_per_capita,wind_per_capita,0.042654047559136016,Pearson 2023
co2_per_capita,wind_per_capita,-0.07087500539150673,Pearson 2023
gdp_per_capita,wind_per_capita,0.4450307784904658,Pearson 2023
log_renewables_production_per_capita,wind_per_capita,0.280861240594122,Pearson 2023
log_hydro_per_capita,wind_per_capita,0.18618991344314317,Pearson 2023
log_gdp_per_capita,wind_per_capita,0.477314012454268,Pearson 2023
renewables_production_per_capita,hydro_per_capita,0.9804093539656603,Pearson 2023
solar_per_capita,hydro_per_capita,-0.1304039828612402,Pearson 2023
wind_per_capita,hydro_per_capita,0.186188212168706,Pearson 2023
hydro_per_capita,hydro_per_capita,1.0,Pearson 2023
other_renewables_per_capita,hydro_per_capita,0.7924618494735035,Pearson 2023
co2_per_capita,hydro_per_capita,0.024504166816529244,Pearson 2023
gdp_per_capita,hydro_per_capita,0.24004075140802986,Pearson 2023
log_renewables_production_per_capita,hydro_per_capita,0.9804094884160731,Pearson 2023
log_hydro_per_capita,hydro_per_capita,0.999999999989303,Pearson 2023
log_gdp_per_capita,hydro_per_capita,0.24321282315465495,Pearson 2023
renewables_production_per_capita,other_renewables_per_capita,0.863879785555376,Pearson 2023
solar_per_capita,other_renewables_per_capita,-0.08228771218694986,Pearson 2023
wind_per_capita,other_renewables_per_capita,0.042654047559136016,Pearson 2023
hydro_per_capita,other_renewables_per_capita,0.7924618494735035,Pearson 2023
other_renewables_per_capita,other_renewables_per_capita,1.0,Pearson 2023
co2_per_capita,other_renewables_per_capita,0.027455064973492177,Pearson 2023
gdp_per_capita,other_renewables_per_capita,0.15736014372888613,Pearson 2023
log_renewables_production_per_capita,other_renewables_per_capita,0.8638767472443857,Pearson 2023
log_hydro_per_capita,other_renewables_per_capita,0.7924598147822542,Pearson 2023
log_gdp_per_capita,other_renewables_per_capita,0.17875691387146486,Pearson 2023
renewables_production_per_capita,co2_per_capita,0.02923948558807773,Pearson 2023
solar_per_capita,co2_per_capita,0.22115576744383916,Pearson 2023
wind_per_capita,co2_per_capita,-0.07087500539150673,Pearson 2023
hydro_per_capita,co2_per_capita,0.024504166816529244,Pearson 2023
other_renewables_per_capita,co2_per_capita,0.027455064973492177,Pearson 2023
co2_per_capita,co2_per_capita,1.0,Pearson 2023
gdp_per_capita,co2_per_capita,0.47987859187638476,Pearson 2023
log_renewables_production_per_capita,co2_per_capita,0.029239005937224345,Pearson 2023
log_hydro_per_capita,co2_per_capita,0.02450375979289118,Pearson 2023
log_gdp_per_capita,co2_per_capita,0.4827976054881623,Pearson 2023
renewables_production_per_capita,gdp_per_capita,0.29433595870830226,Pearson 2023
solar_per_capita,gdp_per_capita,0.396259969695145,Pearson 2023
wind_per_capita,gdp_per_capita,0.4450307784904658,Pearson 2023
hydro_per_capita,gdp_per_capita,0.24004075140802986,Pearson 2023
other_renewables_per_capita,gdp_per_capita,0.15736014372888613,Pearson 2023
co2_per_capita,gdp_per_capita,0.47987859187638476,Pearson 2023
gdp_per_capita,gdp_per_capita,1.0,Pearson 2023
log_renewables_production_per_capita,gdp_per_capita,0.2943383331776538,Pearson 2023
log_hydro_per_capita,gdp_per_capita,0.24004129359302775,Pearson 2023
log_gdp_per_capita,gdp_per_capita,0.9200636143621869,Pearson 2023
renewables_production_per_capita,log_renewables_production_per_capita,0.9999999999704644,Pearson 2023
solar_per_capita,log_renewables_production_per_capita,-0.035479191852719694,Pearson 2023
wind_per_capita,log_renewables_production_per_capita,0.280861240594122,Pearson 2023
hydro_per_capita,log_renewables_production_per_capita,0.9804094884160731,Pearson 2023
other_renewables_per_capita,log_renewables_production_per_capita,0.8638767472443857,Pearson 2023
co2_per_capita,log_renewables_production_per_capita,0.029239005937224345,Pearson 2023
gdp_per_capita,log_renewables_production_per_capita,0.2943383331776538,Pearson 2023
log_renewables_production_per_capita,log_renewables_production_per_capita,1.0,Pearson 2023
log_hydro_per_capita,log_renewables_production_per_capita,0.9804091518926494,Pearson 2023
log_gdp_per_capita,log_renewables_production_per_capita,0.3105089643296967,Pearson 2023
renewables_production_per_capita,log_hydro_per_capita,0.9804090174100996,Pearson 2023
solar_per_capita,log_hydro_per_capita,-0.13040388462436767,Pearson 2023
wind_per_capita,log_hydro_per_capita,0.18618991344314317,Pearson 2023
hydro_per_capita,log_hydro_per_capita,0.999999999989303,Pearson 2023
other_renewables_per_capita,log_hydro_per_capita,0.7924598147822542,Pearson 2023
co2_per_capita,log_hydro_per_capita,0.02450375979289118,Pearson 2023
gdp_per_capita,log_hydro_per_capita,0.24004129359302775,Pearson 2023
log_renewables_production_per_capita,log_hydro_per_capita,0.9804091518926494,Pearson 2023
log_hydro_per_capita,log_hydro_per_capita,1.0,Pearson 2023
log_gdp_per_capita,log_hydro_per_capita,0.24321360351583954,Pearson 2023
renewables_production_per_capita,log_gdp_per_capita,0.31050614249850406,Pearson 2023
solar_per_capita,log_gdp_per_capita,0.4824984764161076,Pearson 2023
wind_per_capita,log_gdp_per_capita,0.477314012454268,Pearson 2023
hydro_per_capita,log_gdp_per_capita,0.24321282315465495,Pearson 2023
other_renewables_per_capita,log_gdp_per_capita,0.17875691387146486,Pearson 2023
co2_per_capita,log_gdp_per_capita,0.4827976054881623,Pearson 2023
gdp_per_capita,log_gdp_per_capita,0.9200636143621869,Pearson 2023
log_renewables_production_per_capita,log_gdp_per_capita,0.3105089643296967,Pearson 2023
